Date;Zone;Carbon Intensity;consumption;production;import;export;fossilFreePercentage;renewablePercentage;powerConsumptionTotal;powerProductionTotal;powerImportTotal;powerExportTotal
01/01/2020 00:00;PT;123;{'nuclear': 87, 'geothermal': None, 'biomass': 369, 'coal': 5, 'wind': 56, 'solar': 0, 'hydro': 3357, 'gas': 721, 'oil': 1, 'unknown': 33, 'hydro discharge': 326, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 362, 'coal': None, 'wind': 36, 'solar': None, 'hydro': 3281, 'gas': 634, 'oil': None, 'unknown': 32, 'hydro discharge': 326, 'battery discharge': None};{'ES': 285};{'ES': 0};85;83;4956;4671;285;0
01/01/2020 06:00;PT;101;{'nuclear': None, 'geothermal': None, 'biomass': 347, 'coal': None, 'wind': 99, 'solar': None, 'hydro': 3077, 'gas': 465, 'oil': None, 'unknown': 31, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 357, 'coal': None, 'wind': 102, 'solar': None, 'hydro': 3165, 'gas': 478, 'oil': None, 'unknown': 32, 'hydro discharge': -64, 'battery discharge': None};{'ES': 0};{'ES': 51};88;88;4019;4134;0;51
01/01/2020 12:00;PT;129;{'nuclear': 178, 'geothermal': 0, 'biomass': 361, 'coal': 10, 'wind': 81, 'solar': 546, 'hydro': 3098, 'gas': 940, 'oil': 3, 'unknown': 34, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 363, 'coal': None, 'wind': 70, 'solar': 458, 'hydro': 3059, 'gas': 826, 'oil': None, 'unknown': 32, 'hydro discharge': -212, 'battery discharge': None};{'ES': 654};{'ES': 0};81;78;5250;4808;654;0
01/01/2020 18:00;PT;156;{'nuclear': None, 'geothermal': None, 'biomass': 282, 'coal': None, 'wind': 54, 'solar': None, 'hydro': 2980, 'gas': 922, 'oil': None, 'unknown': 11, 'hydro discharge': 1814, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 331, 'coal': None, 'wind': 63, 'solar': None, 'hydro': 3496, 'gas': 1082, 'oil': None, 'unknown': 13, 'hydro discharge': 2129, 'battery discharge': None};{'ES': 0};{'ES': 1051};85;85;6063;7114;0;1051
02/01/2020 00:00;PT;105;{'nuclear': 219, 'geothermal': 0, 'biomass': 360, 'coal': 12, 'wind': 326, 'solar': 2, 'hydro': 3227, 'gas': 613, 'oil': 4, 'unknown': 35, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 348, 'coal': None, 'wind': 293, 'solar': None, 'hydro': 3068, 'gas': 421, 'oil': None, 'unknown': 32, 'hydro discharge': -26, 'battery discharge': None};{'ES': 663};{'ES': 0};86;82;4799;4162;663;0
02/01/2020 06:00;PT;155;{'nuclear': None, 'geothermal': None, 'biomass': 265, 'coal': None, 'wind': 451, 'solar': None, 'hydro': 2293, 'gas': 936, 'oil': None, 'unknown': 22, 'hydro discharge': 598, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 342, 'coal': None, 'wind': 582, 'solar': None, 'hydro': 2959, 'gas': 1208, 'oil': None, 'unknown': 29, 'hydro discharge': 772, 'battery discharge': None};{'ES': 0};{'ES': 1326};79;79;4566;5892;0;1326
02/01/2020 12:00;PT;221;{'nuclear': None, 'geothermal': None, 'biomass': 278, 'coal': None, 'wind': 500, 'solar': 155, 'hydro': 2445, 'gas': 2402, 'oil': None, 'unknown': 19, 'hydro discharge': 1512, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 349, 'coal': None, 'wind': 627, 'solar': 195, 'hydro': 3068, 'gas': 3015, 'oil': None, 'unknown': 24, 'hydro discharge': 1897, 'battery discharge': None};{'ES': 0};{'ES': 1864};67;67;7311;9175;0;1864
02/01/2020 18:00;PT;219;{'nuclear': None, 'geothermal': None, 'biomass': 286, 'coal': None, 'wind': 467, 'solar': None, 'hydro': 2977, 'gas': 2630, 'oil': None, 'unknown': 10, 'hydro discharge': 1518, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 337, 'coal': None, 'wind': 550, 'solar': None, 'hydro': 3510, 'gas': 3100, 'oil': None, 'unknown': 12, 'hydro discharge': 1790, 'battery discharge': None};{'ES': 0};{'ES': 1411};67;67;7888;9299;0;1411
03/01/2020 00:00;PT;163;{'nuclear': 650, 'geothermal': 0, 'biomass': 335, 'coal': 47, 'wind': 736, 'solar': 1, 'hydro': 2419, 'gas': 1446, 'oil': 10, 'unknown': 20, 'hydro discharge': 0, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 329, 'coal': None, 'wind': 473, 'solar': None, 'hydro': 2209, 'gas': 1197, 'oil': None, 'unknown': 13, 'hydro discharge': -624, 'battery discharge': None};{'ES': 2066};{'ES': 0};73;62;5663;4221;2066;0
03/01/2020 06:00;PT;203;{'nuclear': None, 'geothermal': None, 'biomass': 304, 'coal': None, 'wind': 442, 'solar': None, 'hydro': 2408, 'gas': 1757, 'oil': None, 'unknown': 12, 'hydro discharge': 136, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 332, 'coal': None, 'wind': 483, 'solar': None, 'hydro': 2629, 'gas': 1918, 'oil': None, 'unknown': 13, 'hydro discharge': 148, 'battery discharge': None};{'ES': 0};{'ES': 465};65;65;5058;5523;0;465
03/01/2020 12:00;PT;222;{'nuclear': None, 'geothermal': None, 'biomass': 298, 'coal': None, 'wind': 351, 'solar': 258, 'hydro': 2890, 'gas': 2631, 'oil': None, 'unknown': 11, 'hydro discharge': 766, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 342, 'coal': None, 'wind': 404, 'solar': 296, 'hydro': 3322, 'gas': 3024, 'oil': None, 'unknown': 13, 'hydro discharge': 881, 'battery discharge': None};{'ES': 0};{'ES': 1077};63;63;7205;8282;0;1077
03/01/2020 18:00;PT;228;{'nuclear': None, 'geothermal': None, 'biomass': 273, 'coal': None, 'wind': 340, 'solar': None, 'hydro': 2862, 'gas': 2688, 'oil': None, 'unknown': 11, 'hydro discharge': 1385, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 317, 'coal': None, 'wind': 395, 'solar': None, 'hydro': 3325, 'gas': 3123, 'oil': None, 'unknown': 13, 'hydro discharge': 1609, 'battery discharge': None};{'ES': 0};{'ES': 1224};64;64;7558;8782;0;1224
04/01/2020 00:00;PT;133;{'nuclear': 653, 'geothermal': 0, 'biomass': 377, 'coal': 48, 'wind': 741, 'solar': 1, 'hydro': 2514, 'gas': 973, 'oil': 11, 'unknown': 31, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 356, 'coal': None, 'wind': 469, 'solar': None, 'hydro': 2268, 'gas': 620, 'oil': None, 'unknown': 24, 'hydro discharge': -309, 'battery discharge': None};{'ES': 1921};{'ES': 0};80;68;5349;3737;1921;0
04/01/2020 06:00;PT;117;{'nuclear': 430, 'geothermal': 0, 'biomass': 320, 'coal': 30, 'wind': 849, 'solar': 1, 'hydro': 2324, 'gas': 721, 'oil': 7, 'unknown': 34, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 339, 'coal': None, 'wind': 740, 'solar': None, 'hydro': 2382, 'gas': 517, 'oil': None, 'unknown': 33, 'hydro discharge': -735, 'battery discharge': None};{'ES': 1441};{'ES': 0};83;74;4717;4011;1441;0
04/01/2020 12:00;PT;130;{'nuclear': 336, 'geothermal': 0, 'biomass': 329, 'coal': 25, 'wind': 860, 'solar': 611, 'hydro': 2767, 'gas': 1161, 'oil': 6, 'unknown': 29, 'hydro discharge': 0, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 331, 'coal': None, 'wind': 717, 'solar': 487, 'hydro': 2738, 'gas': 1028, 'oil': None, 'unknown': 26, 'hydro discharge': -483, 'battery discharge': None};{'ES': 1280};{'ES': 0};80;75;6124;5327;1280;0
04/01/2020 18:00;PT;125;{'nuclear': None, 'geothermal': None, 'biomass': 311, 'coal': None, 'wind': 1784, 'solar': None, 'hydro': 2940, 'gas': 1092, 'oil': None, 'unknown': 12, 'hydro discharge': 958, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 334, 'coal': None, 'wind': 1917, 'solar': None, 'hydro': 3158, 'gas': 1173, 'oil': None, 'unknown': 13, 'hydro discharge': 1029, 'battery discharge': None};{'ES': 0};{'ES': 527};84;84;7097;7624;0;527
05/01/2020 00:00;PT;101;{'nuclear': 323, 'geothermal': 0, 'biomass': 311, 'coal': 27, 'wind': 1681, 'solar': 1, 'hydro': 2263, 'gas': 703, 'oil': 6, 'unknown': 26, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 347, 'coal': None, 'wind': 1834, 'solar': None, 'hydro': 2511, 'gas': 585, 'oil': None, 'unknown': 26, 'hydro discharge': -1102, 'battery discharge': None};{'ES': 1139};{'ES': 0};86;80;5340;5303;1139;0
05/01/2020 06:00;PT;122;{'nuclear': 373, 'geothermal': None, 'biomass': 322, 'coal': 34, 'wind': 1004, 'solar': 1, 'hydro': 1987, 'gas': 729, 'oil': 6, 'unknown': 26, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 353, 'coal': None, 'wind': 1017, 'solar': None, 'hydro': 2124, 'gas': 612, 'oil': None, 'unknown': 26, 'hydro discharge': -853, 'battery discharge': None};{'ES': 1203};{'ES': 0};82;74;4482;4132;1203;0
