;date;totale production;total consumption;diff conso / prod (%);carbon production (kg);new carbon production (kg)
;01/01/2020 00:00;240829;233650;2.9809532905090332;57726618;38128301
;01/01/2020 06:00;230155;216262;6.036366796289458;52413126;33556926
;01/01/2020 12:00;255079;245962;3.5741868205536327;54351750;35639308
;01/01/2020 18:00;278264;270060;2.9482793318575164;64730122;43649068
;02/01/2020 00:00;238242;222827;6.470311699868201;55536348;35339695
;02/01/2020 06:00;272861;269170;1.3527033911038953;65649609;45382716
;02/01/2020 12:00;311131;308390;0.8809793945315638;73459913;52540334
;02/01/2020 18:00;319125;313867;1.6476302389345867;75127899;52560666
;03/01/2020 00:00;260609;239532;8.087594825965335;51058265;32591785
;03/01/2020 06:00;292914;278548;4.904511221723783;60844235;42056509
;03/01/2020 12:00;319416;309938;2.9672903048062715;69737218;50228419
;03/01/2020 18:00;321462;310204;3.5021246679234252;70448742;49784146
;04/01/2020 00:00;254573;240136;5.671064881193214;50274024;33172432
;04/01/2020 06:00;271514;250550;7.721148817372217;54276031;34548922
;04/01/2020 12:00;305807;289156;5.44493749325555;59675197;40488900
;04/01/2020 18:00;310143;298509;3.7511728460742297;67823665;46846840
;05/01/2020 00:00;248033;235764;4.946519213169216;57687857;36964749
;05/01/2020 06:00;246348;236625;3.946855667592187;59731304;37520545
;05/01/2020 12:00;282559;277855;1.6647850537409887;64353561;45398063
;05/01/2020 18:00;299370;294388;1.6641614056184653;71168220;50365357
;06/01/2020 00:00;248703;237365;4.55885132065154;57373115;38003171
;06/01/2020 06:00;283469;283121;0.12276474676243257;73062479;50109392
;06/01/2020 12:00;311264;309733;0.491865426133443;75637791;53738285
;06/01/2020 18:00;322561;317977;1.4211265466066885;81403450;58268852
;07/01/2020 00:00;267454;246412;7.867521143822863;63769232;42097203
;07/01/2020 06:00;318534;315419;0.977917584935988;87426271;64165976
;07/01/2020 12:00;338179;335547;0.7782860556096032;89716767;66349350
;07/01/2020 18:00;347307;340083;2.0800041461876666;91833844;66398585
;08/01/2020 00:00;274922;254021;7.60251998748736;57435943;38123928
;08/01/2020 06:00;326334;315532;3.3101055973327944;81049801;58686658
;08/01/2020 12:00;339744;332416;2.1569181501365735;87935262;64721423
;08/01/2020 18:00;334558;330328;1.2643547606095207;95083050;70498656
;09/01/2020 00:00;261985;245631;6.242342118823597;70189376;49856892
;09/01/2020 06:00;319992;312714;2.2744318607965197;86439973;63718768
;09/01/2020 12:00;335967;330549;1.6126583860914911;80801610;60755794
;09/01/2020 18:00;334342;329430;1.469154338970276;85359991;63093865
;10/01/2020 00:00;273758;248374;9.272423089005619;63332738;42632222
