Date;Zone;Carbon Intensity;consumption;production;import;export;fossilFreePercentage;renewablePercentage;powerConsumptionTotal;powerProductionTotal;powerImportTotal;powerExportTotal
2020-01-01 00:00:00;IT-CNO;253;{'nuclear': 45, 'geothermal': 649, 'biomass': 66, 'coal': 116, 'wind': 194, 'solar': 0, 'hydro': 507, 'gas': 753, 'oil': 2, 'unknown': 161, 'hydro discharge': 1, 'battery discharge': None};{'nuclear': None, 'geothermal': 661, 'biomass': 24, 'coal': None, 'wind': 25, 'solar': None, 'hydro': 310, 'gas': 290, 'oil': None, 'unknown': 78, 'hydro discharge': None, 'battery discharge': None};{'IT-NO': 352, 'FR-COR': 0, 'IT-CSO': 801};{'IT-NO': 0, 'FR-COR': 48, 'IT-CSO': 0};59;57;2493;1388;1153;48
2020-01-01 03:00:00;IT-CNO;284;{'nuclear': 1, 'geothermal': 410, 'biomass': 81, 'coal': 200, 'wind': 494, 'solar': 0, 'hydro': 247, 'gas': 716, 'oil': 2, 'unknown': 121, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': 662, 'biomass': 24, 'coal': None, 'wind': 28, 'solar': None, 'hydro': 166, 'gas': 280, 'oil': None, 'unknown': 74, 'hydro discharge': None, 'battery discharge': None};{'IT-NO': 0, 'FR-COR': 0, 'IT-CSO': 2432};{'IT-NO': 1346, 'FR-COR': 48, 'IT-CSO': 0};54;54;2272;1234;2432;1394
2020-01-01 06:00:00;IT-CNO;277;{'nuclear': 0, 'geothermal': 432, 'biomass': 83, 'coal': 211, 'wind': 522, 'solar': 7, 'hydro': 299, 'gas': 720, 'oil': 2, 'unknown': 130, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': 662, 'biomass': 24, 'coal': None, 'wind': 18, 'solar': 1, 'hydro': 194, 'gas': 283, 'oil': None, 'unknown': 80, 'hydro discharge': None, 'battery discharge': None};{'IT-NO': 0, 'FR-COR': 0, 'IT-CSO': 2423};{'IT-NO': 1231, 'FR-COR': 48, 'IT-CSO': 0};56;56;2406;1262;2423;1279
2020-01-01 09:00:00;IT-CNO;199;{'nuclear': 0, 'geothermal': 398, 'biomass': 68, 'coal': 183, 'wind': 368, 'solar': 771, 'hydro': 306, 'gas': 445, 'oil': 2, 'unknown': 120, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': 659, 'biomass': 24, 'coal': None, 'wind': 8, 'solar': 649, 'hydro': 280, 'gas': 280, 'oil': None, 'unknown': 99, 'hydro discharge': None, 'battery discharge': None};{'IT-NO': 0, 'FR-COR': 0, 'IT-CSO': 2411};{'IT-NO': 1701, 'FR-COR': 48, 'IT-CSO': 0};72;72;2661;1999;2411;1749
2020-01-01 12:00:00;IT-CNO;196;{'nuclear': 0, 'geothermal': 387, 'biomass': 68, 'coal': 184, 'wind': 350, 'solar': 813, 'hydro': 330, 'gas': 440, 'oil': 2, 'unknown': 115, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': 656, 'biomass': 24, 'coal': None, 'wind': 15, 'solar': 705, 'hydro': 336, 'gas': 271, 'oil': None, 'unknown': 92, 'hydro discharge': None, 'battery discharge': None};{'IT-NO': 0, 'FR-COR': 0, 'IT-CSO': 2454};{'IT-NO': 1824, 'FR-COR': 40, 'IT-CSO': 0};72;72;2689;2099;2454;1864
2020-01-01 15:00:00;IT-CNO;217;{'nuclear': 89, 'geothermal': 643, 'biomass': 60, 'coal': 81, 'wind': 236, 'solar': 37, 'hydro': 685, 'gas': 644, 'oil': 2, 'unknown': 198, 'hydro discharge': 1, 'battery discharge': None};{'nuclear': None, 'geothermal': 655, 'biomass': 24, 'coal': None, 'wind': 19, 'solar': 28, 'hydro': 434, 'gas': 269, 'oil': None, 'unknown': 100, 'hydro discharge': None, 'battery discharge': None};{'IT-NO': 620, 'FR-COR': 0, 'IT-CSO': 576};{'IT-NO': 0, 'FR-COR': 49, 'IT-CSO': 0};65;62;2676;1529;1196;49
2020-01-01 18:00:00;IT-CNO;219;{'nuclear': 204, 'geothermal': 648, 'biomass': 56, 'coal': 29, 'wind': 28, 'solar': 0, 'hydro': 1064, 'gas': 832, 'oil': 2, 'unknown': 245, 'hydro discharge': 32, 'battery discharge': None};{'nuclear': None, 'geothermal': 658, 'biomass': 25, 'coal': None, 'wind': 12, 'solar': None, 'hydro': 503, 'gas': 279, 'oil': None, 'unknown': 96, 'hydro discharge': None, 'battery discharge': None};{'IT-NO': 1587, 'FR-COR': 0, 'IT-CSO': 29};{'IT-NO': 0, 'FR-COR': 49, 'IT-CSO': 0};63;57;3140;1573;1616;49
2020-01-01 21:00:00;IT-CNO;224;{'nuclear': 158, 'geothermal': 632, 'biomass': 51, 'coal': 20, 'wind': 27, 'solar': 0, 'hydro': 773, 'gas': 783, 'oil': 2, 'unknown': 185, 'hydro discharge': 14, 'battery discharge': None};{'nuclear': None, 'geothermal': 659, 'biomass': 24, 'coal': None, 'wind': 22, 'solar': None, 'hydro': 417, 'gas': 280, 'oil': None, 'unknown': 77, 'hydro discharge': None, 'battery discharge': None};{'IT-NO': 1278, 'FR-COR': 0, 'IT-CSO': 0};{'IT-NO': 0, 'FR-COR': 49, 'IT-CSO': 64};61;56;2644;1479;1278;113
2020-01-02 00:00:00;IT-CNO;280;{'nuclear': 1, 'geothermal': 497, 'biomass': 76, 'coal': 168, 'wind': 409, 'solar': 0, 'hydro': 253, 'gas': 712, 'oil': 2, 'unknown': 138, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': 659, 'biomass': 25, 'coal': None, 'wind': 7, 'solar': None, 'hydro': 167, 'gas': 279, 'oil': None, 'unknown': 97, 'hydro discharge': None, 'battery discharge': None};{'IT-NO': 0, 'FR-COR': 0, 'IT-CSO': 1757};{'IT-NO': 684, 'FR-COR': 49, 'IT-CSO': 0};55;55;2258;1234;1757;733
2020-01-02 03:00:00;IT-CNO;284;{'nuclear': 1, 'geothermal': 399, 'biomass': 76, 'coal': 174, 'wind': 492, 'solar': 0, 'hydro': 216, 'gas': 713, 'oil': 2, 'unknown': 127, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': 663, 'biomass': 24, 'coal': None, 'wind': 23, 'solar': None, 'hydro': 157, 'gas': 329, 'oil': None, 'unknown': 97, 'hydro discharge': None, 'battery discharge': None};{'IT-NO': 0, 'FR-COR': 0, 'IT-CSO': 2361};{'IT-NO': 1405, 'FR-COR': 49, 'IT-CSO': 0};54;54;2200;1293;2361;1454
